updated_at,small_step_id,small_step_name,source_ss_wr_desc,candidate_ss_desc,source_word_count,candidate_word_count,model,tokens_used
2026-05-21T13:02:03,Year 7_11-12_Summer__Properties of number_9_Lowest common multiple (LCM),Lowest common multiple (LCM),"In this small step, students develop their understanding of multiples to find the lowest common multiple (LCM) of two or more numbers. Encourage a systematic approach when listing multiples, and discuss with students that, while multiples are infinite, they only need to list enough to identify a common one. Prompt them to highlight any common multiples before identifying the lowest common multiple. Once confident, students can progress to word problems and examples involving more than two numbers. Discuss the difference between the highest common factor and the lowest common multiple, helping students to understand when each one is used. Misconceptions and common errors • Students may confuse the highest common factor and the lowest common multiple. • Students may assume that the product of the two numbers is the lowest common multiple, for example that 36 is the lowest common multiple of 3 and 12 • Students may incorrectly list the multiples of two numbers. Year 7 | Summer term | Block 2 – Properties of numbers | Step 9 Mathematical talk • List the first ten multiples of • What are some common multiples of and ? • What is the lowest common multiple of and ? • Explain why the product of two numbers will be a common multiple of the numbers. • When is the lowest common multiple of two numbers not the same as their product? • Do all pairs of numbers have a lowest common multiple? Explain how you know. • Can the lowest common multiple of two numbers ever be the same as one of the numbers? Explain how you know. • Is it possible to work out the highest common multiple? Explain how you know. National Curriculum links • Use the concepts and vocabulary of prime numbers, factors (or divisors), multiples, common factors, common multiples, highest common factor, lowest common multiple, prime factorisation, including using product notation and the unique factorisation property","Students learn to find the lowest common multiple (LCM) of two or more numbers by listing multiples systematically. They identify common multiples and distinguish between the highest common factor and LCM. Address misconceptions, such as confusing LCM with the product of numbers. Progress to solving word problems involving more than two numbers.",319,52,gpt-4o,574
2026-05-21T13:07:37,Year 7_11-12_Summer__Properties of number_10_HCF and LCM from a Venn diagram (E),HCF and LCM from a Venn diagram (E),"In this extend step, students build on previous learning to use Venn diagrams to find the highest common factor (HCF) and lowest common multiple (LCM). Ensure that students are confident in expressing numbers as a product of their prime factors before introducing this method. Model how to represent the prime factors of two numbers in a Venn diagram, emphasising that the intersection shows the shared prime factors. Explain that multiplying the numbers in the intersection gives the highest common factor, while multiplying all the numbers in the Venn diagram gives the lowest common multiple. Misconceptions and common errors • Students may confuse which factors are multiplied to calculate the highest common factor or the lowest common multiple. • Students may duplicate prime factors in the Venn diagrams when they appear in both numbers. • Students may not understand that if there are no common prime factors in the intersection, then the highest common factor is 1 Year 7 | Summer term | Block 2 – Properties of numbers | Step 10 Mathematical talk • Express as a product of its prime factors. • Where in the Venn diagram do you write the common prime factors? • How do you calculate the highest common factor from a Venn diagram? • How do you calculate the lowest common multiple from a Venn diagram? • Explain why multiplying all the prime factors in the Venn diagram gives the lowest common multiple. • If two numbers have no common prime factors, what does the intersection of the Venn diagram contain? What does this tell you about their highest common factor? • What is the highest common factor when there are no common prime factors in the intersection of the Venn diagram? E National Curriculum links • Use the concepts and vocabulary of prime numbers, factors (or divisors), multiples, common factors, common multiples, highest common factor, lowest common multiple, prime factorisation, including using product notation and the unique factorisation property","Students use Venn diagrams to find the highest common factor (HCF) and lowest common multiple (LCM) by representing numbers as products of their prime factors. The intersection shows shared prime factors for HCF, while multiplying all factors gives the LCM. Address misconceptions about factor placement and calculation errors.",325,48,gpt-4o,587
2026-05-21T13:07:38,Year 7_11-12_Summer__Properties of number_11_Use factors to simplify calculations (E),Use factors to simplify calculations (E),"In this extend step, students develop flexibility in representing numbers by expressing them as a product of factors to simplify calculations. Encourage students to rewrite numbers in ways that make mental or written methods more efficient. For example, in the calculation 16 × 50, students could express 16 as 4 × 4 and 50 as 25 × 2, recognising that 4 × 25 = 100 and so simplifying the calculation to 100 × 4 × 2. Discuss the commutative property of multiplication, showing how reordering factors can make calculations easier. The focus is not on prime factorisation but on selecting factor groupings that simplify the process, helping students to develop efficient strategies for working without a calculator. Misconceptions and common errors • Students may write a value as a product of its prime factors, without considering how other representations may be more efficient. • Students may attempt to calculate the products in the order they are given, rather than looking for useful factor pairs that simplify the calculation, such as numbers that multiply to make 10 or 100 Year 7 | Summer term | Block 2 – Properties of numbers | Step 11 Mathematical talk • What are some useful factors of a number to identify? • Why is it useful to identify pairs of factors that multiply to give 10 or 100? • Write as a product of its factors. • Is writing a value as a product of its prime factors always the most efficient method? Explain how you know. • How many different ways can you express as a product of its factors? • Which product of factors is the most efficient for the calculation? Explain how you know. • Explain why multiplying the factors in any order still gives the same answer. E National Curriculum links • Use the concepts and vocabulary of prime numbers, factors (or divisors), multiples, common factors, common multiples, highest common factor, lowest common multiple, prime factorisation, including using product notation and the unique factorisation property","Students learn to express numbers as a product of factors to simplify calculations, enhancing mental or written methods. For example, in 16 × 50, express 16 as 4 × 4 and 50 as 25 × 2, simplifying to 100 × 4 × 2. Focus on efficient factor groupings, not prime factorisation, and discuss the commutative property of multiplication.",334,58,gpt-4o,628
2026-05-21T13:07:40,Year 7_11-12_Summer__Add and subtract fractions_9_Add and subtract simple algebraic fractions (E),Add and subtract simple algebraic fractions (E),"In this extend step, students further develop their understanding of fractions within the context of algebra. Start by comparing the addition of fractional expressions to the addition of fractions in numerical form, keeping examples simple at this introductory stage, rather than using complex multi-term expressions. Provide practice with algebraic fractions that include variables in both numerators and denominators. If necessary, revisit the process of adding and subtracting fractions with different denominators before extending to algebraic cases. Where appropriate, challenge students with equations equal to a whole involving algebraic fractions, for example 3 x + 2 x = 1 Misconceptions and common errors • Students may not make the denominators equal before adding or subtracting the fractions. • Students may struggle to identify common denominators when the denominators are algebraic. • Students may incorrectly convert an expression into a fraction before adding or subtracting, for example x + 3x 4 = x x + 3x 4 Year 7 | Summer term | Block 3 – Add and subtract fractions | Step 9 National Curriculum links • Use the four operations, including formal written methods, applied to integers, decimals, proper and improper fractions, and mixed numbers, all both positive and negative • Use and interpret algebraic notation, including: ab in place of a × b; 3y in place of y + y + y and 3 × y; a2 in place of a × a, a3 in place of a × a × a; a2b in place of a × a × b; a b in place of a ÷ b; coefficients written as fractions rather than as decimals; brackets Mathematical talk • What is meant by “like terms”? • What is the same and what is different about 1 2 + 1 2 and a 2 + a 2 ? • How can you rewrite 3 x + 1 2x with equivalent denominators? • What is the same and what is different about x 4 and 1 4 x? • What does “in terms of m” mean? • Can the fraction be simplified? Explain your answer. • What must the value of y be if 2 y + 5 y = 1? Explain how you know. E","Students extend their understanding of fractions in algebra by comparing the addition of fractional expressions to numerical fractions. Practice involves algebraic fractions with variables in numerators and denominators. Address misconceptions such as not equalizing denominators before adding. Challenge students with equations involving algebraic fractions equaling a whole, e.g., 3x + 2x = 1.",366,53,gpt-4o,679
2026-05-21T13:07:41,Year 7_11-12_Summer__Add and subtract fractions_10_Substitution and solving equations with fractions (E),Substitution and solving equations with fractions (E),"In this extend step, students apply their knowledge of adding and subtracting algebraic fractions within algebraic contexts, including substitution and solving equations. Start by focusing on substituting values into a range of algebraic fractional expressions. It may be helpful to revisit substitution in expressions without fractions before extending to those that include them. Similarly, when solving equations, recap methods for one- and two-step equations before introducing fractional terms, to support understanding. Where appropriate, provide additional challenge by including fractions greater than 1 in substitution problems or equations. Misconceptions and common errors • Students may apply the incorrect inverse operation when solving equations. • Students may make errors when substituting into expressions with powers, for example treating p2 as “double p” instead of squaring the value of p. Year 7 | Summer term | Block 3 – Add and subtract fractions | Step 10 National Curriculum links • Use the four operations, including formal written methods, applied to integers, decimals, proper and improper fractions, and mixed numbers, all both positive and negative • Substitute numerical values into formulae and expressions, including scientific formulae • Use algebraic methods to solve linear equations in one variable (including all forms that require rearrangement) Mathematical talk • What is the value of the expression if x = ? • Is it possible to substitute fractions into algebraic expressions? Explain your answer. • What is the inverse of ? • What is a possible first step to solving the equation? • What calculation is equivalent to x2? • Can you collect any like terms before beginning to solve the equation? Explain your answer. • Can the value of an unknown be both negative and fractional? Explain your answer. E","Students apply their knowledge of adding and subtracting algebraic fractions, focusing on substitution and solving equations. Begin with substituting values into algebraic fractional expressions, then solve equations with fractional terms. Address misconceptions, such as incorrect inverse operations and errors in substituting powers. Challenge students with fractions greater than 1 in problems.",283,51,gpt-4o,550
2026-05-21T13:07:43,Year 7_11-12_Summer__Angles and polygons_9_Solve problems with angles,Solve problems with angles,"In this small step, students apply known angle facts to calculate unknown angles in a variety of contexts. At this stage, students should be confident in using all the angle facts covered so far in this block. The focus of this step is on identifying which fact to apply and justifying solutions using accurate mathematical vocabulary and notation. Encourage students to explain their thinking clearly and to check whether their answers are sensible. Model how to set up and solve equations based on different angle facts. More challenging questions may combine several angle facts, requiring a step-by- step approach to reach the solution. Calculators can be used to ensure that the focus remains on the application of the angle facts, rather than the arithmetic. Misconceptions and common errors • Students may confuse which fact or facts apply to a situation. • Students may forget that vertically opposite angles are equal and instead assume that they sum to 180° or 360°. • Students may try to measure rather than calculate angles. • Students may not show clear reasoning or may use incorrect or incomplete justification when explaining their answers. Year 7 | Summer term | Block 4 – Angles and polygons | Step 9 Mathematical talk • What do you know? What can you find out? • What information can you add to the diagram? • How do you decide which angle fact to use and apply? • Is it possible to apply more than one angle fact in this problem? • Which angle facts do you know? • Which angle facts do you think you will need to apply to this problem? • How do you know whether to use 180° or 360° in a calculation? • How can you check that your answer is sensible once you have calculated an unknown angle? National Curriculum links • Apply the properties of angles at a point, angles at a point on a straight line, vertically opposite angles • Derive and use the sum of angles in a triangle and use it to deduce the angle sum in any polygon, and to derive properties of regular polygons • Apply angle facts, triangle congruence, similarity and properties of quadrilaterals to derive results about angles and sides, including Pythagoras’ theorem, and use known results to obtain simple proofs","Students apply known angle facts to calculate unknown angles in various contexts, focusing on identifying and justifying the correct fact to use. They should clearly explain their reasoning and check their answers. This step involves setting up equations and may combine multiple angle facts. Calculators are used to emphasize understanding angle facts over arithmetic.",384,54,gpt-4o,652
2026-05-21T13:07:44,Year 7_11-12_Summer__Angles and polygons_10_Parallel and perpendicular lines,Parallel and perpendicular lines,"In this small step, students consolidate and extend their Key Stage 2 understanding of parallel and perpendicular lines. Remind students that parallel lines are always the same distance apart and never meet, no matter how far they are extended. Perpendicular lines meet at a right angle (90°), which can be shown using a square corner or set square. Use clear diagrams and practical examples, such as train tracks for parallel lines or the corner of a book for perpendicular lines. Encourage students to spot these relationships in shapes, coordinate grids and the classroom environment. Emphasise accurate vocabulary, such as “intersect” and “right angle”, and correct notation, including arrows for parallel lines and squares for right angles. Students should practise drawing parallel and perpendicular lines using a ruler and protractor or set square. Misconceptions and common errors • Students may assume that all lines that do not meet are parallel, overlooking the fact that parallel lines must also be equidistant. • Students may assume that lines need to be the same length to be parallel. • Students may confuse perpendicular lines with any intersecting lines. Year 7 | Summer term | Block 4 – Angles and polygons | Step 10 Mathematical talk • How can you tell that two lines are parallel? • What does it mean for two lines to be the same distance apart? • Can parallel lines ever meet? Explain your answer. • What makes a pair of lines perpendicular? • How can you check that two lines are perpendicular? • What is the same and what is different about parallel lines and perpendicular lines? • Where might you see parallel/perpendicular lines in everyday life? • If line AB is perpendicular to CD, and EF is parallel to AB, what is the relationship between EF and CD? National Curriculum links • Describe, sketch and draw using conventional terms and notations: points, lines, parallel lines, perpendicular lines, right angles, regular polygons, and other polygons that are reflectively and rotationally symmetric","Students consolidate their understanding of parallel and perpendicular lines. Parallel lines are equidistant and never meet, while perpendicular lines intersect at a right angle (90°). Use diagrams and examples, like train tracks and book corners, to illustrate. Emphasize accurate vocabulary and notation. Practice drawing with a ruler and protractor. Address misconceptions about line properties.",331,54,gpt-4o,613
2026-05-21T13:07:46,Year 7_11-12_Summer__Angles and polygons_11_Investigate angles in parallel lines  E,Investigate angles in parallel lines  E,"In this extend step, students explore angles formed when a transversal crosses parallel lines. The focus of this step is on careful measurement and observation of angles in parallel lines. Students investigate patterns and compare different angle positions. Encourage them to use known angle facts, such as angles on a straight line or around a point, to justify their ideas, where possible. Provide opportunities for students to test their conjectures with further examples to build confidence. This investigative approach develops curiosity and provides a secure foundation for introducing formal parallel line angle facts in later steps. Misconceptions and common errors • Students may believe that all angles formed by a transversal and parallel lines are equal. • Students may believe that parallel lines must always be horizontal. • Students may not understand that there can be more than two parallel lines in a set. Year 7 | Summer term | Block 4 – Angles and polygons | Step 11 Mathematical talk • How can you identify parallel lines? • Do parallel lines always have to be drawn horizontally? Explain your answer. • How many angles are created when a transversal intersects a pair of parallel lines? • What do you notice about the sizes of the angles formed between a transversal and parallel lines? Is there a pattern? • Are there any other pairs of equal angles? Explain how you know. • If you know the size of one angle, how can you use angles on a straight line, vertically opposite angles and angles around a point to work out other angles? National Curriculum links • Apply the properties of angles at a point, angles at a point on a straight line, vertically opposite angles • Understand and use the relationship between parallel lines and alternate and corresponding angles • Describe, sketch and draw using conventional terms and notations: points, lines, parallel lines, perpendicular lines, right angles, regular polygons, and other polygons that are reflectively and rotationally symmetric E","Students explore angles formed when a transversal intersects parallel lines, focusing on measurement and observation. They investigate patterns, using known angle facts like angles on a straight line, to justify ideas. This step builds a foundation for formal parallel line angle facts. Misconceptions include assuming all angles are equal or parallel lines must be horizontal.",329,55,gpt-4o,585
2026-05-21T13:07:47,Year 7_11-12_Summer__Angles and polygons_12_Angles in any polygon  E,Angles in any polygon  E,"In this extend step, students are introduced to the sum of the interior angles in a polygon. Start with triangles, where the angles sum to 180°, and quadrilaterals, which can be split into two triangles to give 360°. Explore polygons with more sides by partitioning them into triangles from a single vertex, for example splitting a pentagon into three triangles, making the sum of the interior angles 540°. Encourage students to investigate different polygons and record their findings, noticing how the number of sides links to the number of triangles and the total angle sum. Then introduce regular polygons, showing how each interior angle can be found by dividing the total by the number of sides. Students also identify interior and exterior angles at a vertex and calculate them using their knowledge of angles on a straight line. Misconceptions and common errors • Students may think that the sum of the interior angles differs between regular and irregular polygons. • Students may assume that the sum of the angles can be found by multiplying the number of sides by 180°. • Students may struggle to split the polygons into triangles, using more than one vertex. Year 7 | Summer term | Block 4 – Angles and polygons | Step 12 Mathematical talk • How many triangles can a quadrilateral be split into? What does that tell you about the total sum of its interior angles? • If a pentagon can be split into three triangles, what does that tell you about the total sum of its interior angles? • Why is the interior angle sum of any polygon always a multiple of 180°? • Describe the relationship between the number of sides a polygon has and the number of triangles it can be split into from one vertex. • How can you calculate the angle sum of any polygon? Does your method work for concave polygons? National Curriculum links • Derive and use the sum of angles in a triangle and use it to deduce the angle sum in any polygon, and to derive properties of regular polygons E","Students learn the sum of interior angles in polygons, starting with triangles (180°) and quadrilaterals (360°). They partition polygons into triangles from a single vertex to find the angle sum, e.g., a pentagon into three triangles (540°). Explore regular polygons by dividing the total angle sum by the number of sides. Calculate interior and exterior angles using angles on a straight line.",349,62,gpt-4o,627
2026-05-21T13:07:48,Year 7_11-12_Summer__Angles and polygons_13_Simple proofs  E,Simple proofs  E,"In this extend step, students are introduced to the idea of simple proofs using known angle facts. Distinguish between a demonstration, which shows why something is true in one case, and a proof, which explains why it is always true. Model how the angles in a triangle sum to 180° by cutting out the three corners and rearranging them so that they fit together along a straight line. Encourage students to make links to earlier angle facts, recognising that angles on a straight line sum to 180°. Students should practise writing short proofs, focusing on clear reasoning and step-by-step justification. Discussions about efficiency and generalisation will help students to see how proofs provide certainty and are more powerful than examples alone. Misconceptions and common errors • Students may think that showing one example is enough to prove a fact. • Students may think that proofs are only shown by calculations, rather than reasoning and logical facts. • Students may write explanations without a clear structure. • Students may struggle with more challenging expressions such as 180 − (90 − x). Year 7 | Summer term | Block 4 – Angles and polygons | Step 13 Mathematical talk • What is the same and what is different about a proof and a demonstration? • What do you know? What can you find out? • Is it possible to prove something in more than one way? • How could you prove that there are 360° in a full turn? • Why is it important to write each step of a proof in order? • This trapezium has two right angles. Does this mean that every trapezium has two right angles? Explain how you know. • How can you prove that the angles in a pentagon sum to 540° using the fact that angles in a triangle sum to 180°? National Curriculum links • Apply angle facts, triangle congruence, similarity and properties of quadrilaterals to derive results about angles and sides, including Pythagoras’ theorem, and use known results to obtain simple proofs E","Students learn simple proofs using known angle facts, distinguishing between demonstrations and proofs. They model how triangle angles sum to 180° and practice writing proofs with clear reasoning. Discussions on efficiency and generalization highlight proof certainty. Address misconceptions about examples and proof structure. National Curriculum links include applying angle facts and deriving results.",340,53,gpt-4o,618
