row_index,small_step_num,year,term,difficulty,block,small_step_num_in_topic,old_small_step_name,new_small_step_name
851,852,Year 7,Summer,,1,1,1 Multiples,Multiples
852,853,Year 7,Summer,,1,2,2 Factors,Factors
853,854,Year 7,Summer,,1,3,3 Prime numbers,Prime numbers
854,855,Year 7,Summer,,1,4,4 Write a number as a product of prime factors,Write a number as a product of prime factors
855,856,Year 7,Summer,,1,5,"5 Square, cube and triangular numbers","Square, cube and triangular numbers"
856,857,Year 7,Summer,,1,6,6 Square roots and cube roots,Square roots and cube roots
857,858,Year 7,Summer,,1,7,7 Explore higher powers and roots (E),Explore higher powers and roots (E)
858,859,Year 7,Summer,,1,8,8 Highest common factor (HCF),Highest common factor (HCF)
859,860,Year 7,Summer,,1,9,9 Lowest common multiple (LCM),Lowest common multiple (LCM)
860,861,Year 7,Summer,,1,10,10 HCF and LCM from a Venn diagram (E),HCF and LCM from a Venn diagram (E)
861,862,Year 7,Summer,,1,11,11 Use factors to simplify calculations (E),Use factors to simplify calculations (E)
872,873,Year 7,Summer,,2,1,""""" Simplify a fraction",Simplify a fraction
873,874,Year 7,Summer,,2,2,""""" Convert between mixed numbers and improper fractions",Convert between mixed numbers and improper fractions
874,875,Year 7,Summer,,2,3,""""" Add and subtract fractions with the same denominator",Add and subtract fractions with the same denominator
875,876,Year 7,Summer,,2,4,""""" Add and subtract with fractions and integers",Add and subtract with fractions and integers
876,877,Year 7,Summer,,2,5,""""" Add and subtract fractions where denominators share a simple common multiple",Add and subtract fractions where denominators share a simple common multiple
877,878,Year 7,Summer,,2,6,""""" Add and subtract fractions with any denominator",Add and subtract fractions with any denominator
878,879,Year 7,Summer,,2,7,""""" Add and subtract improper fractions and mixed numbers",Add and subtract improper fractions and mixed numbers
879,880,Year 7,Summer,,2,8,""""" Use equivalence to add and subtract decimals and fractions (E)",Use equivalence to add and subtract decimals and fractions (E)
880,881,Year 7,Summer,,2,9,""""" Add and subtract simple algebraic fractions (E)",Add and subtract simple algebraic fractions (E)
881,882,Year 7,Summer,,2,10,"""""0 Substitution and solving equations with fractions (E)",Substitution and solving equations with fractions (E)
882,883,Year 7,Summer,,3,1,""""" Draw and measure lines and angles",Draw and measure lines and angles
883,884,Year 7,Summer,,3,2,""""" Understand and use geometric notation",Understand and use geometric notation
884,885,Year 7,Summer,,3,3,""""" Angles around a point",Angles around a point
885,886,Year 7,Summer,,3,4,""""" Angles on a straight line",Angles on a straight line
886,887,Year 7,Summer,,3,5,""""" Vertically opposite angles",Vertically opposite angles
887,888,Year 7,Summer,,3,6,""""" Recognise and name polygons",Recognise and name polygons
888,889,Year 7,Summer,,3,7,""""" Angles in a triangle",Angles in a triangle
889,890,Year 7,Summer,,3,8,""""" Angles in a quadrilateral",Angles in a quadrilateral
890,891,Year 7,Summer,,3,9,""""" Solve problems with angles",Solve problems with angles
891,892,Year 7,Summer,,3,10,"""""0 Parallel and perpendicular lines",Parallel and perpendicular lines
892,893,Year 7,Summer,,3,11,"""""1 Angles in parallel lines (E)",Angles in parallel lines (E)
