unique_row,year,age,term,difficulty,block,macro_topic,topic,small_step_num,small_step_num_in_topic,small_step_name,ss_wr_desc,ss_desc,small_step_id,small_step_key,year_order,term_order,topic_order,source_row_index,legacy_step_position
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,852,1,Multiples,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Properties of number_1_Multiples,year-7__11-12__summer__blank__properties-of-number__1__multiples,7,3,1,122,1
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,853,2,Factors,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Properties of number_2_Factors,year-7__11-12__summer__blank__properties-of-number__2__factors,7,3,1,122,2
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,854,3,Prime numbers,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Properties of number_3_Prime numbers,year-7__11-12__summer__blank__properties-of-number__3__prime-numbers,7,3,1,122,3
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,855,4,Write a number as a product of prime factors,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Properties of number_4_Write a number as a product of prime factors,year-7__11-12__summer__blank__properties-of-number__4__write-a-number-as-a-product-of-prime-factors,7,3,1,122,4
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,856,5,"Square, cube and triangular numbers",Updated May 2026,Updated May 2026,"Year 7_11-12_Summer__Properties of number_5_Square, cube and triangular numbers",year-7__11-12__summer__blank__properties-of-number__5__square-cube-and-triangular-numbers,7,3,1,122,5
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,857,6,Square roots and cube roots,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Properties of number_6_Square roots and cube roots,year-7__11-12__summer__blank__properties-of-number__6__square-roots-and-cube-roots,7,3,1,122,6
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,858,7,Explore higher powers and roots (E),Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Properties of number_7_Explore higher powers and roots (E),year-7__11-12__summer__blank__properties-of-number__7__explore-higher-powers-and-roots-e,7,3,1,122,7
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,859,8,Highest common factor (HCF),Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Properties of number_8_Highest common factor (HCF),year-7__11-12__summer__blank__properties-of-number__8__highest-common-factor-hcf,7,3,1,122,8
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,860,9,Lowest common multiple (LCM),"In this small step, students develop their understanding of multiples to find the lowest common multiple (LCM) of two or more numbers. Encourage a systematic approach when listing multiples, and discuss with students that, while multiples are infinite, they only need to list enough to identify a common one. Prompt them to highlight any common multiples before identifying the lowest common multiple. Once confident, students can progress to word problems and examples involving more than two numbers. Discuss the difference between the highest common factor and the lowest common multiple, helping students to understand when each one is used. Misconceptions and common errors • Students may confuse the highest common factor and the lowest common multiple. • Students may assume that the product of the two numbers is the lowest common multiple, for example that 36 is the lowest common multiple of 3 and 12 • Students may incorrectly list the multiples of two numbers. Year 7 | Summer term | Block 2 – Properties of numbers | Step 9 Mathematical talk • List the first ten multiples of • What are some common multiples of and ? • What is the lowest common multiple of and ? • Explain why the product of two numbers will be a common multiple of the numbers. • When is the lowest common multiple of two numbers not the same as their product? • Do all pairs of numbers have a lowest common multiple? Explain how you know. • Can the lowest common multiple of two numbers ever be the same as one of the numbers? Explain how you know. • Is it possible to work out the highest common multiple? Explain how you know. National Curriculum links • Use the concepts and vocabulary of prime numbers, factors (or divisors), multiples, common factors, common multiples, highest common factor, lowest common multiple, prime factorisation, including using product notation and the unique factorisation property",,Year 7_11-12_Summer__Properties of number_9_Lowest common multiple (LCM),year-7__11-12__summer__blank__properties-of-number__9__lowest-common-multiple-lcm,7,3,1,122,9
Year7SummerPropertiesofnumber,Year 7,11-12,Summer,,1,Properties of number,Properties of number,861,10,HCF and LCM from a Venn diagram (E),"In this extend step, students build on previous learning to use Venn diagrams to find the highest common factor (HCF) and lowest common multiple (LCM). Ensure that students are confident in expressing numbers as a product of their prime factors before introducing this method. Model how to represent the prime factors of two numbers in a Venn diagram, emphasising that the intersection shows the shared prime factors. Explain that multiplying the numbers in the intersection gives the highest common factor, while multiplying all the numbers in the Venn diagram gives the lowest common multiple. Misconceptions and common errors • Students may confuse which factors are multiplied to calculate the highest common factor or the lowest common multiple. • Students may duplicate prime factors in the Venn diagrams when they appear in both numbers. • Students may not understand that if there are no common prime factors in the intersection, then the highest common factor is 1 Year 7 | Summer term | Block 2 – Properties of numbers | Step 10 Mathematical talk • Express as a product of its prime factors. • Where in the Venn diagram do you write the common prime factors? • How do you calculate the highest common factor from a Venn diagram? • How do you calculate the lowest common multiple from a Venn diagram? • Explain why multiplying all the prime factors in the Venn diagram gives the lowest common multiple. • If two numbers have no common prime factors, what does the intersection of the Venn diagram contain? What does this tell you about their highest common factor? • What is the highest common factor when there are no common prime factors in the intersection of the Venn diagram? E National Curriculum links • Use the concepts and vocabulary of prime numbers, factors (or divisors), multiples, common factors, common multiples, highest common factor, lowest common multiple, prime factorisation, including using product notation and the unique factorisation property",,Year 7_11-12_Summer__Properties of number_10_HCF and LCM from a Venn diagram (E),year-7__11-12__summer__blank__properties-of-number__10__hcf-and-lcm-from-a-venn-diagram-e,7,3,1,122,10
