channel_id,channel_name,playlist_id,playlist_name
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXb1arH6tkSV8xTI99OR2XD,Calculus 1 - Derivatives Test Review
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXXDYmpXlwz3umLs_VGaTe8,Calculus - Limits Test Review
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BWaz9ZsNnzaq-GuX6xMXEgG,NEW GED Math Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BVHbqqJDzjvbUD2HWxuvSfd,Interesting Questions
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BWTXLFLnZ8IOtq3g0PDYTP6,New Fractions Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BW0JntDHE00Hel2sqwYYtdD,Physics With Calculus
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXcdxNQVpjgCfo6Wjot9QV8,Organic Chemistry 1 Exam 2 Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXr5F_xtgHLr2KDQA-PoL3G,YouTube Channel Growth Tips
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BVWq4vvQWwdb-hThAoIkBiR,Organic Chemistry 1 Exam 1
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BVzbQjmhQxe5eQwuFQx2oV_,Linear Equations and Slope Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXWS3L0IqFwKk8Rr9dcVXPw,Percentages Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXr49VZTEyUS5-G8fz0Pt1v,Math - Basic Introduction - Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BVcjGPB03gXgkRQvgn6M8b8,Study Tips
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BVZbm2aWCslec4SCeCduiqv,Science and Technology Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BVJoep_XshasfnwHfCV_JMf,Stocks and Bonds
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BWLRgHW2i8diQ359U5FbKnI,SAT Math
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BVsziIRdfv4Hl4UIqDZhXWV,Statistics
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BX8lFpIiKY97cHfKp7JP2NV,Biology
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BWnb_W5mEnzvmp23QZCOO7G,Biochemistry
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BVN1xLJFMz7NlwTDaAa2Lbj,Personal Finance
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BWYhjLZRtBWRTghtPGQwEfe,Excel Tutorial
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXCpQbUdf0htZE8SS0PYjy-,Number Systems
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BV9E-N8tSExU1djL6slnjbL,Electronic Circuits
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXacPNb33YSOBXUA_PWZ8bf,Fractions and Mixed Numbers
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXP7TUO7656wg0uF1xYnwgm,New Organic Chemistry Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BXDMB9u4YU7CGq1PDNIXn7r,Basic Integration
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BWYThyV4T2Allw6zY0jEumv,New Calculus Video Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BU5sTWZ2YxFhpXwsnMfMke7,New Precalculus Video Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BVCB8iCVCGOES9pEF6byTMT,New Trigonometry Playlist
UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,PL0o_zxa4K1BUeF2o-MlNpbRiS-oE2Kn6J,New Algebra Playlist
