channel_id,channel_name,playlist_id,playlist_name
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXHksqIglE3iYV2RQLz9oGb,Mental Math Tricks
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUAAEzCiUjvxrAjBXQxzA_c,"Pre-Kindergarten, Counting, Shapes, Opposites"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXnc3q2i4u3GMqVHYBFMz56,8th Grade Math Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWxBDwfqly2mFnLNfpAU8UV,7th Grade Math Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWg5McSxYODb2Oqvtt8AM5s,6th Grade Math Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUB7l_NFu4RZ9jFJZHSOSnl,Kindergarten Math Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUL-MlUdbT5DeAsigMuQc4o,2nd Grade Math Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGX8NtQpzliTlMceQT1ua24f,5th Grade Math Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGX7RhcxctRibNb7V091JZfn,4th Grade Math Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVPton7wjphpYAhdTjnJsw0,3rd Grade Math Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUeo2NEs6yiLManPgRzez0e,Drawing with a Compass and straightedge
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGW6lToMe7cpVXkZDYxugWKO,"Grade 7 Integers, Positive and Negative numbers"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVmHaYfIog9D9jaCXHeu5jG,"Grade 6 Integers, Negative & Positive numbers"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGU7fAZi1CWGJh1Y-06Yux1T,"Alg 2, Counting & Probability, Permutations, Combinations"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVBM1nPhwW1lTuxi32Q0IZ3,High School Geometry Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWD1zvrA0P9sTz_jrjEJ6Rd,"Algebra 2, Sequences, Series, and Mathematical Induction"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUjEYzjxD8_-5VmarRzkYNy,Grade 1 Math Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXt4t8Nuu_iiCnDQV3p64b_,"GED, HiSet, TASC, Math Course, Lesson 1 thru 27"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVztzwEmhKSumbS_tndsjyk,U.S. money
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXCEjmBCoa1zkw869Y_Xei-,Grade 2 Math (Old playlist)
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXCbojBkixZ6dBrnP0tFPgo,Random Daily videos
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVayUezlEMDOSKylCK4wrA8,Custom made for students
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXv0g-i-n2hR1jG6_s5qdVe,JoAnn's Home
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUE-Im2i9dCPkxFfewDrcxt,Algebra I Exponents & Polynomials Chapter 5
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXQaOvEpl4OoyxKufLOz-8X,Algebra I Quadratic Equations Chapter 13
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUfVgVc7PlHedyFuMXOTI5l,Algebra I Functions and Variations Chapter 12
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVwqn3G4ZWKhR4BG8wAjccg,Algebra I Radical Expressions & Equations Chapter 11
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWoVOuWST0DjFoI6b9XfRbF,Algebra I Rational Expressions & Equations Chapter 10
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVVcYS3yLEQABtmmlfETc7L,Algebra I Systems of Equations Chapter 8
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVyUAzch6LPX4doWWd78GTx,"Algebra I Coordinates, Graphs, & Linear Equations Chapter 7"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXs-f26qJzQocFjN8UCt8UX,Algebra I Solving Equations Chapter 3
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUe7972KTfFL_n3CARYmff_,Algebra I Integers & Rational Numbers Chapter 2
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWcuaYu8KZGfpZhVB_lulhO,"Alg I Inequalities, Absolute Value Chapter 4 & 9"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVFL7jt599P6cL2Q2Iy52US,"Exponents, Gr 6 - Alg I"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGU6LhJ_9ma4Fiu1S3qKX6is,Algebra I Polynomials & Factoring Chapter 6
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWZGnALHTUICXVRdr5R9pMZ,"Two-Way Frequency Tables, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGU0koau2scFh5hUMnzjmQ7J,"Scatter Plots, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGU0w7XslwzCtUmNSO4mFYY3,"Volume, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWAOm9mgM05yKrUreEcd0gg,"Pythagorean Theorem a²+b²=c², Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVS8WGmgBZ3Z1VCEYfd0VWE,"Angle Relations Parallel line, Triangle, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGV0ZLCsoHEn495TTQAyamfQ,"Transformations, Grade 8, Chapter 9 and 10"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGX8Bz_1d6uaw5siSwNtl1Bb,"Systems of Linear Equations, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXrlMdQwpbSGErJfutbokim,"Solve Linear Equations, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGW0QPykulpFoQaoIw97S-3Y,"Algebraic Functions, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVd6RiqceCMp0QISQuvivfU,"Write Linear Equations, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUdOYQVBqB_EhsvrO--w1cz,"Non-proportional relationship, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWTLy-JXEbtCELkKUSKSLp9,"Proportional Relationships, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVK5jad5d8GN6ETDLmm9Ps4,"Exponents & Scientific Notation, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUCsmKfvNQVP-mi_jEEPs8p,"Compare and classify Real Numbers, Grade 8"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXcD8ODiOb9kxDUSClXZ3Ss,Bitsy and Lola
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWgYBV_75Hv-Evjq10S0bEw,Homeschool help
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXzkjUUMYVChM2WxWfgIrK4,Algebra 1 Course (Grade 8 or 9)
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVn7XqPuLlrQ9HVpQ9_462k,"Grade 6, 7, and 8 Statistics & Probability"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUA2QyUH-n7aWGWv1jafWvO,Grade 8 Math Course (Old 2014 Playlist)
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWOhs0gkb3-_LF0MtIDk3rY,Grade 7 Math Course (Old 2014 playlist)
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWeIOWCVFoSE22sWcHpls9P,Get ready for Algebra I
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGV9ObvZr1S7d2Nb9JmQuht7,Algebra Word Problems
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVVH8hEaTUaaHTjR7XB4_WW,Grade 6 Math (Old 2012 playlist)
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVGCVa4jrZLB7zFNG3mRg0N,Algebra 2 Course
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUWQxEfrZZTXOVF_I04fpeV,Grade 5 Math (Old 2012 playlist)
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGX_VnCyGn7nSGq2OGkG36Qv,JoAnn's School Intro Trigonometry
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWMBVLWF734284bLvgiuLYK,Grade 4 Math (Old 2012 playlist)
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWnOXHkfmZtaCn92PZTNdWi,Joann's School Test Strategies & Logic
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWC6I3ltUlMls0rzLQJlcrl,"Clocks, Time, and Calendars"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGWHRkiYE5A9lFtlLg2hlpuO,"Joann's School Base Systems, Base 2 thru 10"
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUtddnQ4Ki5drcpfpY58fej,Joann's School Lefties Write
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVdzZwuZ7l2iePX_qCQUbjp,Grade 3 Math (Old 2012 playlist)
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXt0PVEJZCgHC2X6Vg30mFo,JoAnn's School Neat learning tricks
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGVIaInphx0LYPdUMNN9G9ZQ,JoAnn's School Math Formulas
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGV3ae7pHVCmRnj096FNAjs8,JoAnn's School Division Playlist
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXz1OkTwNvku-e_yRfJSVwO,JoAnn's School Measurement
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXqNWNVEp4EIPjOpxohQJDW,JoAnn's School Percentages
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUUzMV-0O1yUjSUXdgSKcng,Videos of Emma
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGXIgtyxt2EwdXikm6sVg4TW,JoAnn's School Decimals
UCAZKtYcE5Jgd6hVL-RHv6Vw,JoAnn's School,PLKi4WTp6PRGUYKjbyJuBHo_vkIzGsOshq,JoAnn's School Fractions
