channel_id,channel_name,playlist_id,playlist_name
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x3c9X2dBTZvH-7lpPBR8LJU,IGCSE Differentiation
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x1ctWkTDqF2qEREJSusbKTV,GCSE Maths Stage 14 (Higher GCSE Only)
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x0Q94tmm-aTgpddeVDjZChg,GCSE Maths Stage 13 (Higher GCSE Only)
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x3qRXyaPHYuMlUQYZ06Y5d1,GCSE Maths Stage 12 (Higher GCSE Only)
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x0QTfEVKOcBeS_hO2gE9cKu,GCSE Maths Stage 11 (Higher GCSE Only)
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x0CMgJRC_Ph2vzjJeaNvQMb,GCSE Maths Stage 10
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x26Zs7623M6H8LYot1DIr_x,GCSE Maths Stage 9
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x2rFOiBCIftPwcZINHlOjVp,GCSE Maths Stage 8
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x2x-QCJ7DCUeiXtMT-nEdBI,GCSE Maths Stage 7
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x2WaEjb5RhCNE8AuP31v2Kg,GCSE Maths Stage 6
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x1uT11FtjHI7Hdl2v3-S54Z,GCSE Maths Stage 5
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x2CqQRC5sJjEtrWjblrSsre,GCSE Maths Stage 4
UCTr7jsVuqZdRJDe2Nnvnxvw,Maths Genie,PLUHcYgR3f2x2fviTJU1JdTksNAwrHMMuM,GCSE Maths Stage 3
