unique_id,year,term,difficulty,topic,small_step,video_id,video_title,channel,duration_formatted,semantic_scores,instruction_quality_scores,combined_scores
Year 1_Autumn__Place value within 10_Sort objects,Year 1,Autumn,,Place value within 10,Sort objects,kFr-Vy3od7w|Zg5AAxgf9qg|aIWWEPpWZ80,Categorizing and Sorting Objects | It's Easy With Twinkl | Twinkl USA|Sort the Same Group Two Different Ways | Preschool and Kindergarten | Kids Academy|How to sort and group objects according to colour | CBC Grade 1 Math Lesson | EasyElimu,Twinkl_Teaching_Resources_-_United_States|Kids_Academy|EasyElimu_Learning_Innovations,00:06:45|00:04:56|00:07:47,0.8591|0.6667|0.7157,75.0|75.0|65.0,0.8155|0.7000|0.6894
Year 1_Autumn__Place value within 10_Count objects,Year 1,Autumn,,Place value within 10,Count objects,1tXp6_NP-A0|bI1nPJgnWLs|KG6ILNOiMgM,I CAN count objects with 1:1 correspondence.|Basic Counting - Math for Kids!|Math Antics - Decimal Place Value,Leah_Ruesink|Miacademy_&_MiaPrep_Learning_Channel|mathantics,00:05:56|00:04:36|00:11:51,0.7183|0.7640|0.7249,85.0|75.0|10.0,0.7710|0.7584|0.4749
Year 1_Autumn__Place value within 10_Count objects from a larger group,Year 1,Autumn,,Place value within 10,Count objects from a larger group,8lJIhOXUoZk|T5Qf0qSSJFI|KG6ILNOiMgM,Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths|Math Antics - Place Value|Math Antics - Decimal Place Value,LoveToLearn_with_Subhashini_Balakrishnan|mathantics|mathantics,00:07:32|00:09:26|00:11:51,0.7471|0.7849|0.7442,45.0|25.0|10.0,0.6283|0.5709|0.4865
Year 1_Autumn__Place value within 10_Represent objects,Year 1,Autumn,,Place value within 10,Represent objects,1QG9QGXFvDU|tkl9vXr1MaQ|KG6ILNOiMgM,Representing Teen Numbers - Using Ten Frames and Base Ten Blocks|Place Value to 20 - Kindergarten Math With Base Ten Blocks|Math Antics - Decimal Place Value,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|mathantics,00:07:12|00:07:47|00:11:51,0.8410|0.7807|0.7612,75.0|75.0|10.0,0.8046|0.7684|0.4967
Year 1_Autumn__Place value within 10_Recognise numbers as words,Year 1,Autumn,,Place value within 10,Recognise numbers as words,1QG9QGXFvDU|ZpFHpJRfQmQ|btB-Y4OODSM,Representing Teen Numbers - Using Ten Frames and Base Ten Blocks|Grade 1-Reading and Writing Numbers from 0 to 100|Place Value: Ones and Tens,Miacademy_&_MiaPrep_Learning_Channel|TeacherBeeLovesEnglish|Learn_Bright,00:07:12|00:08:31|00:04:51,0.7308|0.7579|0.7184,60.0|45.0|45.0,0.6785|0.6347|0.6111
Year 1_Autumn__Place value within 10_Count on from any number,Year 1,Autumn,,Place value within 10,Count on from any number,XZxMObx6A84|Bj0aVqYBgXg|vkyUCC4s0vY,Identifying Teen Numbers - Kindergarten Math With Ten Frames|Math |  Forward Counting 1 to 100 | Forward Counting for Kids | The Learning Horizon|Easy Addition for Kids: Adding Below 20 | AdaptedMind Math,Miacademy_&_MiaPrep_Learning_Channel|The_Learning_Horizon|AdaptedMind,00:07:06|00:09:31|00:05:28,0.8108|0.8273|0.7711,85.0|45.0|45.0,0.8265|0.6764|0.6427
Year 1_Autumn__Place value within 10_1 more,Year 1,Autumn,,Place value within 10,1 more,NZVtJIdLFuU|ip6baQpCo4o|AvK5J5M5ock,"One More and One Less - Beginning Math for Kids!|Learn to Add: More and Less Using Base Ten Blocks|MATH01L02: One more, one less",Miacademy_&_MiaPrep_Learning_Channel|Early_Learning_Coach|Academ-e,00:08:25|00:07:21|00:04:53,0.7746|0.7118|0.7312,85.0|60.0|55.0,0.8047|0.6671|0.6587
Year 1_Autumn__Place value within 10_Count backwards within 10,Year 1,Autumn,,Place value within 10,Count backwards within 10,NZVtJIdLFuU|UynJ1NE-PS0|wgJHnilsHg0,One More and One Less - Beginning Math for Kids!|Counting Forward and Back - Number Line Practice for Kindergarten|Number Line Word Problem - 1st and 2nd grade,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Math_&_Learning_Videos_4_Kids,00:08:25|00:05:47|00:04:29,0.8221|0.8142|0.7462,85.0|85.0|40.0,0.8332|0.8285|0.6077
Year 1_Autumn__Place value within 10_1 less,Year 1,Autumn,,Place value within 10,1 less,NZVtJIdLFuU|CBn8gYPjyZ8|AvK5J5M5ock,"One More and One Less - Beginning Math for Kids!|One More and One Less - Find Numbers Before and After|MATH01L02: One more, one less",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Academ-e,00:08:25|00:05:32|00:04:53,0.8612|0.8168|0.7799,85.0|85.0|55.0,0.8567|0.8301|0.6879
Year 1_Autumn__Place value within 10_Compare groups by matching,Year 1,Autumn,,Place value within 10,Compare groups by matching,9_b9bodlsmw|bg3FTgTmfkE|8lJIhOXUoZk,Comparing Objects to 10|Comparing & Ordering Three-Digit Numbers|Tens and Ones|Tens and Ones Concept For Kindergarden||Concept of Tens and Ones|Place Value in Maths,Teaching_SPED_with_Lisa|Miacademy_&_MiaPrep_Learning_Channel|LoveToLearn_with_Subhashini_Balakrishnan,00:08:56|00:10:19|00:07:32,0.6642|0.6785|0.7062,75.0|45.0|40.0,0.6985|0.5871|0.5837
