year,age,term,difficulty,topic,small_step_num,small_step_num_in_topic,small_step_num_global,small_step,small_step_name,small_step_desc,ss_wr_desc,ss_desc_validated,ss_desc_validated_source,small_step_id,small_step_key,rank,recommendation_num,recommendation_id,video_id,title,video_title,channel,duration,duration_formatted,semantic_score,alignment_score,instruction_score,combined_score,alignment_justification,instruction_justification,run_signature
Year 7,11-12,Summer,,Properties of number,1,1,1,Multiples,Multiples,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_1_Multiples,year-7__11-12__summer__blank__properties-of-number__1__multiples,1,1,Year 7_11-12_Summer__Properties of number_1_Multiples_recommendation_1,R5-9sy1bwk0,Multiples and Factors - Skip Counting by Multiples and Finding All the Factors,Multiples and Factors - Skip Counting by Multiples and Finding All the Factors,Miacademy_&_MiaPrep_Learning_Channel,00:10:37,00:10:37,0.4531,95.0,85.0,0.6517,"The main teaching focus of the video aligns directly with the target objective of understanding multiples, as it explicitly defines what multiples are and provides multiple examples. The content remains focused on the properties of numbers without drifting into broader topics, and it is age-appropriate for learners aged 11-12, engaging them through a relatable scenario.","The transcript effectively explains the concepts of multiples and factors through relatable examples involving a lemonade stand, which engages the target age group. It uses clear, age-appropriate language and introduces new terms with definitions and examples, while providing step-by-step reasoning in worked examples. However, the complexity could be slightly reduced by simplifying some explanations and focusing more on the core concepts without introducing too many additional ideas at once.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,1,1,1,Multiples,Multiples,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_1_Multiples,year-7__11-12__summer__blank__properties-of-number__1__multiples,2,2,Year 7_11-12_Summer__Properties of number_1_Multiples_recommendation_2,54WuAiwwXR4,Multiples and how to find them! #shorts,Multiples and how to find them! #shorts,Mr._Tom_Teaches_Again,00:02:35,00:02:35,0.4414,95.0,85.0,0.6453,"The transcript content aligns well with the target objective of understanding multiples, focusing on defining multiples and demonstrating how to find them through skip counting and division. It remains within the scope of the topic without drifting into broader concepts, and the explanations are suitable for the age group of 11-12 year-olds.","The transcript effectively explains the concept of multiples using clear, age-appropriate language and focuses on a single concept throughout. It includes visual aids like a number line and provides step-by-step worked examples, which help learners understand the relationship between skip counting and multiples. However, the introduction of terms like 'factors' could be better defined to enhance clarity.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,1,1,1,Multiples,Multiples,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_1_Multiples,year-7__11-12__summer__blank__properties-of-number__1__multiples,3,3,Year 7_11-12_Summer__Properties of number_1_Multiples_recommendation_3,MWyNr_nuEbU,Multiples of 2 | Math with Mr. J,Multiples of 2 | Math with Mr. J,Math_with_Mr._J,00:02:26,00:02:26,0.4605,95.0,75.0,0.6308,"The video directly focuses on teaching the concept of multiples, specifically the first 10 multiples of 2, which aligns perfectly with the target objective of understanding properties of numbers. It remains within the scope of the objective without drifting into broader topics, and the content is age-appropriate for 11-12-year-old learners.","The transcript provides a clear and focused explanation of multiples, using simple language appropriate for 11-12 year olds. It effectively introduces the concept of multiples through both multiplication and skip counting, though it could benefit from more visual aids and engagement prompts to enhance understanding and maintain student interest.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,2,2,2,Factors,Factors,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_2_Factors,year-7__11-12__summer__blank__properties-of-number__2__factors,1,1,Year 7_11-12_Summer__Properties of number_2_Factors_recommendation_1,MbcP1-f_Dlc,Multiples and Factors: What are they and how are they different?,Multiples and Factors: What are they and how are they different?,Mr._Tom_Teaches_Again,00:08:07,00:08:07,0.5586,95.0,85.0,0.7097,"The video effectively focuses on the concepts of factors and multiples, which directly aligns with the target objective of understanding properties of numbers. It provides clear definitions, examples, and practice questions suitable for 11-12-year-olds, ensuring that the content remains age-appropriate and does not drift into broader topics.","The transcript effectively explains the concepts of multiples and factors in a clear and engaging manner suitable for 11-12 year olds. It maintains focus on these two concepts, uses relatable examples, and includes worked examples with step-by-step reasoning. However, the introduction of division as a method to check multiples and factors may introduce some complexity that could distract younger learners from the core concepts.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,2,2,2,Factors,Factors,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_2_Factors,year-7__11-12__summer__blank__properties-of-number__2__factors,2,2,Year 7_11-12_Summer__Properties of number_2_Factors_recommendation_2,vcn2ruTOwFo,Finding factors of a number | Factors and multiples | Pre-Algebra | Khan Academy,Finding factors of a number | Factors and multiples | Pre-Algebra | Khan Academy,Khan_Academy,00:09:53,00:09:53,0.4884,95.0,85.0,0.6711,"The transcript focuses directly on identifying and understanding factors of the number 120, which aligns perfectly with the curriculum objective of Properties of Number – Factors. The content is age-appropriate for 11-12 year-olds, providing clear explanations and examples without drifting into broader topics.","The transcript effectively explains the concept of factors through a step-by-step approach, focusing on one concept throughout the video. It uses clear language appropriate for 11-12 year-olds and introduces new terms with definitions and examples. However, while it includes some worked examples, the engagement prompts for students are minimal, which could enhance their interaction with the material.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,2,2,2,Factors,Factors,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_2_Factors,year-7__11-12__summer__blank__properties-of-number__2__factors,3,3,Year 7_11-12_Summer__Properties of number_2_Factors_recommendation_3,L9BXWMQIZvk,Composite and Prime Numbers - How To Identify if a Number Is Prime or Composite,Composite and Prime Numbers - How To Identify if a Number Is Prime or Composite,Miacademy_&_MiaPrep_Learning_Channel,00:10:26,00:10:26,0.4874,95.0,85.0,0.6706,"The video effectively focuses on the properties of numbers, specifically factors, which aligns directly with the curriculum objective. It introduces prime and composite numbers, utilizes engaging examples, and maintains age-appropriate language and concepts suitable for 11-12-year-olds, without drifting into broader topics.","The transcript provides a clear and focused explanation of factors, prime, and composite numbers, using relatable examples from a lemonade stand context. It effectively engages students with prompts to pause and record their thoughts, while introducing new terms with definitions and examples that are appropriate for the age group.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,3,3,3,Prime numbers,Prime numbers,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_3_Prime numbers,year-7__11-12__summer__blank__properties-of-number__3__prime-numbers,1,1,Year 7_11-12_Summer__Properties of number_3_Prime numbers_recommendation_1,5gBtzdM5M5k,What are Prime Numbers? | Math with Mr. J,What are Prime Numbers? | Math with Mr. J,Math_with_Mr._J,00:04:46,00:04:46,0.3649,95.0,75.0,0.5782,"The video focuses directly on prime numbers, explaining their definition and providing clear examples, which aligns well with the target curriculum objective. It remains on topic without drifting into broader mathematical concepts, making it suitable for the 11-12 age group who are new to the topic.","The transcript provides a clear and focused explanation of prime numbers, emphasizing the concept of factors effectively. However, while it includes some examples, it could benefit from more pictographic or diagrammatic representations to enhance understanding, especially for younger learners. The language is mostly appropriate, but some terms could be simplified further to ensure clarity.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,3,3,3,Prime numbers,Prime numbers,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_3_Prime numbers,year-7__11-12__summer__blank__properties-of-number__3__prime-numbers,2,2,Year 7_11-12_Summer__Properties of number_3_Prime numbers_recommendation_2,9SC4436v81Q,What Are the Prime Numbers up to 100 | KS2 Maths Concept for Kids,What Are the Prime Numbers up to 100 | KS2 Maths Concept for Kids,Twinkl_Educational_Publishing,00:02:25,00:02:25,0.3703,90.0,75.0,0.5711,"The video effectively focuses on prime numbers, clearly defining them and providing examples that align with the curriculum objective. It maintains a suitable scope by not drifting into broader topics and is appropriate for the 11-12 age group, using accessible language and engaging activities.","The transcript effectively introduces the concept of prime numbers with a clear definition and examples, which are appropriate for the age group. However, while it includes engagement prompts, it could benefit from more pictorial or diagrammatic examples to enhance understanding and maintain focus on the single concept of prime numbers.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,3,3,3,Prime numbers,Prime numbers,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_3_Prime numbers,year-7__11-12__summer__blank__properties-of-number__3__prime-numbers,3,3,Year 7_11-12_Summer__Properties of number_3_Prime numbers_recommendation_3,JwPkH6k_Qpo,Prime Factorization - Using Factor Trees in 6th Grade Math,Prime Factorization - Using Factor Trees in 6th Grade Math,Miacademy_&_MiaPrep_Learning_Channel,00:09:47,00:09:47,0.3427,85.0,85.0,0.571,"The video primarily focuses on prime numbers and their properties, aligning well with the target objective of teaching about prime numbers. It also introduces composite numbers and prime factorization, which, while relevant, slightly broadens the scope beyond just prime numbers. Overall, the content is age-appropriate and engaging for learners aged 11-12.","The transcript effectively introduces prime numbers and their properties using engaging storytelling and clear definitions suitable for 11-12 year olds. It maintains focus on the concept of prime numbers, provides worked examples, and includes student engagement prompts that encourage active participation. However, while it covers the topic well, some sections could benefit from more pictographic or diagrammatic examples to further enhance understanding.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
Year 7,11-12,Summer,,Properties of number,4,4,4,Write a number as a product of prime factors,Write a number as a product of prime factors,Updated May 2026,Updated May 2026,Updated May 2026,baseline,Year 7_11-12_Summer__Properties of number_4_Write a number as a product of prime factors,year-7__11-12__summer__blank__properties-of-number__4__write-a-number-as-a-product-of-prime-factors,1,1,Year 7_11-12_Summer__Properties of number_4_Write a number as a product of prime factors_recommendation_1,Fmyq_uC1AV0,An Intro to Prime Factorization | Practice Problems Included | Math with Mr. J,An Intro to Prime Factorization | Practice Problems Included | Math with Mr. J,Math_with_Mr._J,00:12:28,00:12:28,0.4336,95.0,85.0,0.641,"The video focuses directly on the target objective of writing a number as a product of prime factors, providing clear explanations and examples suitable for learners aged 11-12. It effectively uses factor trees to illustrate the process of prime factorization without drifting into unrelated topics, ensuring a strong alignment with the curriculum objective.","The transcript effectively explains prime factorization through clear definitions and step-by-step examples, maintaining focus on a single concept throughout. The use of factor trees and multiple methods for decomposition helps illustrate the concept, although some terminology could be simplified for better accessibility to 11-12 year-olds. Engagement prompts are included, encouraging student participation.",a3c2996e82b632dfc9aee25a14e8ec0aa59c4a23
