updated_at,small_step_id,rank,video_id,video_title,channel,combined_score,source,status,notes
2026-04-22T14:27:46,Year 1_5-6_Autumn__Place value within 10_1_Sort objects,1,kFr-Vy3od7w,Categorizing and Sorting Objects | It's Easy With Twinkl | Twinkl USA,Twinkl_Teaching_Resources_-_United_States,0.8426808391336333,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T14:27:46,Year 1_5-6_Autumn__Place value within 10_1_Sort objects,2,Ux_kLd7qAcY,Shapes! | Mini Math Movies | Scratch Garden,Scratch_Garden,0.5591891696596688,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T14:27:46,Year 1_5-6_Autumn__Place value within 10_1_Sort objects,3,uvM201Kb1ys,Fun with Sets: Learning to Count and Sort Objects for Kids | Educational Math Adventure #maths #set,Mommy_Anne's_Animal_Adventures,0.5570804841146055,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T14:51:24,Year 1_5-6_Autumn__Place value within 10_10_Compare groups by matching,1,QBJ6B472we4,Compare Objects by Matching,Learnxplore,0.8108987801783852,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T14:51:24,Year 1_5-6_Autumn__Place value within 10_10_Compare groups by matching,2,QN0V8YUkCbM,K.CC.6 - Compare the Number of Objects in Groups (Singapore Math),MathwithMrAlmeida,0.776736668175575,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T14:51:24,Year 1_5-6_Autumn__Place value within 10_10_Compare groups by matching,3,MSVHWKz87uE,"Kindergarten Math 2.1, Same Number",JoAnn's_School,0.7206167151270035,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T14:54:53,"Year 1_5-6_Autumn__Place value within 10_11_Fewer, more, same",1,s-6NyI0t2XE,EYFS Maths Week 1 Day 2 - More and Fewer Lesson 2,Coombes_Media,0.7812837040413109,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T14:54:53,"Year 1_5-6_Autumn__Place value within 10_11_Fewer, more, same",2,cnafMNaSwBE,"More, Fewer, or the Same? Learn How to Compare Sets of Objects | Early Math | Primary School",Creative_Ventures,0.7291062079685949,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T14:54:53,"Year 1_5-6_Autumn__Place value within 10_11_Fewer, more, same",3,jut8n12__p0,Introduction to More and Fewer,"Petitto-Kenny,_Melissa",0.7360994275383267,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:00:09,Year 1_5-6_Autumn__Place value within 10_15_The number line,1,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel,0.8695166840788046,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:00:09,Year 1_5-6_Autumn__Place value within 10_15_The number line,2,nh-ZchJkIYA,EYFS - 1 More & 1 Less Using Objects,Your_Talking_Teacher,0.7950108704125322,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:00:09,Year 1_5-6_Autumn__Place value within 10_15_The number line,3,vbeheKETDIo,One More One Less,maria_bermea,0.7688869078911117,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:02:29,Year 1_5-6_Autumn__Addition and subtraction within 10_14_Subtraction – take away/cross out (How many left?),1,7CjQlb_RRzE,Subtraction: Identify the Difference (0-10),Meaghan_Kaufenberg,0.8151775669378889,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:02:29,Year 1_5-6_Autumn__Addition and subtraction within 10_14_Subtraction – take away/cross out (How many left?),2,Gp3BCbRZ_qc,"Grade 1 Math 2.8, Take apart numbers (to subtract)",JoAnn's_School,0.7713962460910188,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:02:29,Year 1_5-6_Autumn__Addition and subtraction within 10_14_Subtraction – take away/cross out (How many left?),3,it3SZq19l0M,Subtraction Sentences - Write and Solve Subtraction Problems,Miacademy_&_MiaPrep_Learning_Channel,0.7137657629039579,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:16:58,Year 1_5-6_Autumn__Addition and subtraction within 10_17_Add or subtract 1 or 2,1,nh-ZchJkIYA,EYFS - 1 More & 1 Less Using Objects,Your_Talking_Teacher,0.7265917023946553,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:16:58,Year 1_5-6_Autumn__Addition and subtraction within 10_17_Add or subtract 1 or 2,2,vkyUCC4s0vY,Easy Addition for Kids: Adding Below 20 | AdaptedMind Math,AdaptedMind,0.697090800246936,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:16:58,Year 1_5-6_Autumn__Addition and subtraction within 10_17_Add or subtract 1 or 2,3,mEAYVWMfIs8,L10 S1 pg 203 Using strategies for addition and subtraction facts,Krista_Sanders,0.652126757973286,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:23:09,Year 1_5-6_Autumn__Shape_2_Sort 3-D shapes,1,Dz3L5IS0NHM,"Slide, Stack and Roll—3D shapes | MightyOwl Math | Kindergarten",MightyOwl,0.7349451792813229,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:23:09,Year 1_5-6_Autumn__Shape_2_Sort 3-D shapes,2,MAPf2ymI-_w,3-D Shape sort,Amanda_Lozano,0.7351836829189624,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:23:09,Year 1_5-6_Autumn__Shape_2_Sort 3-D shapes,3,XSiSjqgNd8k,Identifying Shapes - Learn About 2D and 3D Shapes,Miacademy_&_MiaPrep_Learning_Channel,0.6282028860081389,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:37:21,Year 1_5-6_Spring__Place value within 20_8_The number line to 20,1,PuaaC4GSP7s,Counting Forward and Back - Numbers Between 1 and 20,Miacademy_&_MiaPrep_Learning_Channel,0.7990758295313073,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:37:21,Year 1_5-6_Spring__Place value within 20_8_The number line to 20,2,UynJ1NE-PS0,Counting Forward and Back - Number Line Practice for Kindergarten,Miacademy_&_MiaPrep_Learning_Channel,0.7573553833055477,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:37:21,Year 1_5-6_Spring__Place value within 20_8_The number line to 20,3,-wULi2o_oVw,"Kindergarten Math 8.3, Count and Order to 20",JoAnn's_School,0.7148113992680291,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:41:39,Year 1_5-6_Spring__Place value within 20_9_Use a number line to 20,1,aQkOa9Y8W5c,One More-One Less to 20 Day 1.mp4,Michelle_Lusher,0.7803021727889238,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:41:39,Year 1_5-6_Spring__Place value within 20_9_Use a number line to 20,2,nh-ZchJkIYA,EYFS - 1 More & 1 Less Using Objects,Your_Talking_Teacher,0.8017626905961164,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T15:41:39,Year 1_5-6_Spring__Place value within 20_9_Use a number line to 20,3,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel,0.7657140213776162,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T16:39:48,Year 1_5-6_Spring__Addition and subtraction within 20_2_Add ones using number bonds,1,coq0PP9feec,Number bonds to 20 | Maths for kids | DoodleLearning,DoodleLearning,0.8425251214007292,qa_manual_override,active,applied_from_candidate_panel
2026-04-22T16:39:48,Year 1_5-6_Spring__Addition and subtraction within 20_2_Add ones using number bonds,2,r6q1DU5tZx4,Number Bonds to 20,Miss_Martin,0.8357781579275034,qa_manual_override,active,applied_from_candidate_panel
