small_step_id,small_step_key,small_step_num_global,small_step_num_in_topic,year,age,term,difficulty,topic,small_step_name,baseline_ss_wr_desc,candidate_ss_wr_desc,scenario_label,result_set,recommendation_num,video_id,title,channel,duration_formatted,semantic_score,instruction_score,combined_score,instruction_justification
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.",Introduce the number line and practice counting up to ten and backwords from ten up and down the line and comparing the amounts of groups on the number line.,simplify,baseline,1,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel,00:08:25,0.8409,85.0,0.8446,"The transcript effectively introduces the concept of a number line and the idea of one more and one less in a clear and engaging manner suitable for young learners. It uses relatable examples, such as counting cookies, and incorporates interactive prompts that encourage student participation. However, while the language is mostly appropriate, some phrases could be simplified further to enhance understanding for 5-6-year-olds."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.",Introduce the number line and practice counting up to ten and backwords from ten up and down the line and comparing the amounts of groups on the number line.,simplify,baseline,2,xvcTLaS6w84,"Comparing Numbers | Greater Than, Less Than, or Equal | It’s Easy With Twinkl | Twinkl USA",Twinkl_Teaching_Resources_-_United_States,00:07:32,0.7758,55.0,0.6855,"The transcript introduces several concepts, such as number charts, place value, and comparison symbols, which may overwhelm young learners. While it attempts to explain place value and number lines, the language is complex and includes terms like 'greater than' and 'less than' without sufficient visual aids or simple definitions. Additionally, the focus shifts between multiple concepts rather than maintaining a single, clear focus, which is crucial for this age group."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.",Introduce the number line and practice counting up to ten and backwords from ten up and down the line and comparing the amounts of groups on the number line.,simplify,baseline,3,HWNdMnmBwXk,Year 3 Maths | Using a number line to 1000,Plytime_Learning,00:05:21,0.7628,40.0,0.6177,"The transcript attempts to explain the concept of a number line but is overly complex for 5-6 year olds, introducing numbers up to 1,000 and using terms like 'estimate' and 'scale' without clear definitions. The explanation lacks focus on the single concept of place value within 10 and does not engage students effectively with prompts or pictorial examples that would aid understanding."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.",Introduce the number line and practice counting up to ten and backwords from ten up and down the line and comparing the amounts of groups on the number line.,simplify,candidate,1,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel,00:08:25,0.8311,85.0,0.8387,"The transcript effectively introduces the concept of a number line and the idea of one more and one less in a clear and engaging manner suitable for young learners. It uses relatable examples, such as counting cookies, and incorporates interactive prompts that encourage student participation. However, while the language is mostly appropriate, some phrases could be simplified further to enhance understanding for 5-6-year-olds."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.",Introduce the number line and practice counting up to ten and backwords from ten up and down the line and comparing the amounts of groups on the number line.,simplify,candidate,2,42HVQFbz888,Estimating Numbers on a Number Line,Mrs_Tasker,00:08:55,0.7126,45.0,0.6076,"The transcript attempts to explain the concept of placing numbers on a number line, but it lacks clarity and focus, making it difficult for young learners to grasp the core idea. The language is complex and includes terms like 'estimating' and 'multiples,' which may confuse 5-6 year-olds rather than aid their understanding. Additionally, while there are some prompts for student engagement, the overall structure is not conducive to effective learning for this age group."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.",Introduce the number line and practice counting up to ten and backwords from ten up and down the line and comparing the amounts of groups on the number line.,simplify,candidate,3,XVe5ty9A_O8,Quick Subtraction Number Bonds To 20,Maths_Mind_Benders,00:08:06,0.7174,25.0,0.5304,"The transcript primarily focuses on subtraction and generalization, which diverges from the target objective of introducing the number line and place value within 10. The language used is too complex for 5-6 year-olds, and there are no pictographic or diagrammatic examples to aid understanding. Additionally, the prompts for student engagement do not effectively connect to the core concept of the number line, making it difficult for young learners to grasp the intended mathematical ideas."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.","Children transition from number tracks to number lines, counting in 1s. They practice counting to 10 forwards and backwards, understanding '1 more' and '1 less' using the number line. It also aids in comparing and ordering numbers using words and inequality symbols, reinforcing number bonds and partitioning.",short,baseline,1,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel,00:08:25,0.8409,85.0,0.8446,"The transcript effectively introduces the concept of a number line and the idea of one more and one less in a clear and engaging manner suitable for young learners. It uses relatable examples, such as counting cookies, and incorporates interactive prompts that encourage student participation. However, while the language is mostly appropriate, some phrases could be simplified further to enhance understanding for 5-6-year-olds."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.","Children transition from number tracks to number lines, counting in 1s. They practice counting to 10 forwards and backwards, understanding '1 more' and '1 less' using the number line. It also aids in comparing and ordering numbers using words and inequality symbols, reinforcing number bonds and partitioning.",short,baseline,2,xvcTLaS6w84,"Comparing Numbers | Greater Than, Less Than, or Equal | It’s Easy With Twinkl | Twinkl USA",Twinkl_Teaching_Resources_-_United_States,00:07:32,0.7758,55.0,0.6855,"The transcript introduces several concepts, such as number charts, place value, and comparison symbols, which may overwhelm young learners. While it attempts to explain place value and number lines, the language is complex and includes terms like 'greater than' and 'less than' without sufficient visual aids or simple definitions. Additionally, the focus shifts between multiple concepts rather than maintaining a single, clear focus, which is crucial for this age group."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.","Children transition from number tracks to number lines, counting in 1s. They practice counting to 10 forwards and backwards, understanding '1 more' and '1 less' using the number line. It also aids in comparing and ordering numbers using words and inequality symbols, reinforcing number bonds and partitioning.",short,baseline,3,HWNdMnmBwXk,Year 3 Maths | Using a number line to 1000,Plytime_Learning,00:05:21,0.7628,40.0,0.6177,"The transcript attempts to explain the concept of a number line but is overly complex for 5-6 year olds, introducing numbers up to 1,000 and using terms like 'estimate' and 'scale' without clear definitions. The explanation lacks focus on the single concept of place value within 10 and does not engage students effectively with prompts or pictorial examples that would aid understanding."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.","Children transition from number tracks to number lines, counting in 1s. They practice counting to 10 forwards and backwards, understanding '1 more' and '1 less' using the number line. It also aids in comparing and ordering numbers using words and inequality symbols, reinforcing number bonds and partitioning.",short,candidate,1,NZVtJIdLFuU,One More and One Less - Beginning Math for Kids!,Miacademy_&_MiaPrep_Learning_Channel,00:08:25,0.8708,85.0,0.8625,"The transcript effectively introduces the concept of a number line and the idea of one more and one less in a clear and engaging manner suitable for young learners. It uses relatable examples, such as counting cookies, and incorporates interactive prompts that encourage student participation. However, while the language is mostly appropriate, some phrases could be simplified further to enhance understanding for 5-6-year-olds."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.","Children transition from number tracks to number lines, counting in 1s. They practice counting to 10 forwards and backwards, understanding '1 more' and '1 less' using the number line. It also aids in comparing and ordering numbers using words and inequality symbols, reinforcing number bonds and partitioning.",short,candidate,2,Bj0aVqYBgXg,Math |  Forward Counting 1 to 100 | Forward Counting for Kids | The Learning Horizon,The_Learning_Horizon,00:09:31,0.7909,45.0,0.6546,"The transcript attempts to explain forward counting and the concept of a number line, but it introduces too many complex ideas at once, such as counting to 100 and the concept of tens, which may overwhelm young learners. Additionally, the language is too complex for the target age group, and there are insufficient visual aids or prompts to engage students effectively."
Year 1_5-6_Autumn__Place value within 10_15_The number line,year-1__5-6__autumn__blank__place-value-within-10__15__the-number-line,15,15,Year 1,5-6,Autumn,,Place value within 10,The number line,"are introduced to a number line for the first time. So far, children have only used number tracks, so they may be tempted to label the numbers in between the divisions on the number line. Careful explanation will be needed to avoid this. All number lines will count in 1s. The number line can be used to practise and consolidate the skills learnt so far in this block. Children recap counting from zero to 10 forwards when labelling a number line and can also practise counting backwards if they read from right to left. They can clearly see that 1 more is the next number to the right on the number line, while 1 less is the previous number. The number line can also be used to consolidate comparison of numbers using both words and inequality symbols, as well as being used to order numbers. A number line is a good opportunity to count from zero, as children do not do this when counting objects.","Children transition from number tracks to number lines, counting in 1s. They practice counting to 10 forwards and backwards, understanding '1 more' and '1 less' using the number line. It also aids in comparing and ordering numbers using words and inequality symbols, reinforcing number bonds and partitioning.",short,candidate,3,XVe5ty9A_O8,Quick Subtraction Number Bonds To 20,Maths_Mind_Benders,00:08:06,0.7688,25.0,0.5613,"The transcript primarily focuses on subtraction and generalization, which diverges from the target objective of introducing the number line and place value within 10. The language used is too complex for 5-6 year-olds, and there are no pictographic or diagrammatic examples to aid understanding. Additionally, the prompts for student engagement do not effectively connect to the core concept of the number line, making it difficult for young learners to grasp the intended mathematical ideas."
