updated_at,small_step_id,topic,small_step_name,source,rank,video_id,video_title,channel,combined_score,rating,candidate_ss_wr_desc,awaiting download and faiss update
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_1_Substitution,Algebraic manipulation,Substitution,candidate,1,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_1_Substitution,Algebraic manipulation,Substitution,candidate,2,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_1_Substitution,Algebraic manipulation,Substitution,candidate,3,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_1_Substitution,Algebraic manipulation,Substitution,current,1,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_1_Substitution,Algebraic manipulation,Substitution,current,2,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_1_Substitution,Algebraic manipulation,Substitution,current,3,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_2_Collect like terms,Algebraic manipulation,Collect like terms,candidate,1,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_2_Collect like terms,Algebraic manipulation,Collect like terms,candidate,2,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_2_Collect like terms,Algebraic manipulation,Collect like terms,candidate,3,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_2_Collect like terms,Algebraic manipulation,Collect like terms,current,1,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_2_Collect like terms,Algebraic manipulation,Collect like terms,current,2,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_2_Collect like terms,Algebraic manipulation,Collect like terms,current,3,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_3_Simplify expressions,Algebraic manipulation,Simplify expressions,candidate,1,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_3_Simplify expressions,Algebraic manipulation,Simplify expressions,candidate,2,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_3_Simplify expressions,Algebraic manipulation,Simplify expressions,candidate,3,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_3_Simplify expressions,Algebraic manipulation,Simplify expressions,current,1,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_3_Simplify expressions,Algebraic manipulation,Simplify expressions,current,2,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_3_Simplify expressions,Algebraic manipulation,Simplify expressions,current,3,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_4_Addition and subtraction laws for indices,Algebraic manipulation,Addition and subtraction laws for indices,candidate,1,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_4_Addition and subtraction laws for indices,Algebraic manipulation,Addition and subtraction laws for indices,candidate,2,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_4_Addition and subtraction laws for indices,Algebraic manipulation,Addition and subtraction laws for indices,candidate,3,,,,,5,,
2026-04-12T21:09:16,Year 10_14-15_Autumn_Foundation_Algebraic manipulation_4_Addition and subtraction laws for indices,Algebraic manipulation,Addition and subtraction laws for indices,current,1,,,,,5,,
