video_id,channel,title,small_step_num,ss_wr_desc,small_step_id
7FcQLBH4a9U,STEMHAX,Animals on the Hour  - Time to the Hour Read Aloud Math Analog Clock Animals,102,"Introduce children to time-related vocabulary through daily routines and visual timetables. Encourage use of terms like ""before"", ""after"", ""first"", ""next"", ""finally"", ""morning"", ""afternoon"", ""evening"" to describe and order events. Utilise storybooks to contextualise these concepts in different scenarios.","Year 1_5-6_Summer__Time_1_Before and after, preposition time words"
r3VX5PE90dQ,STEMHAX,Around the Clock with Harriet - Read Aloud Time on the Hour,106,"Children learn to tell time using an analogue clock, understanding ""o'clock"" and viewing the clock face as a number line. They start by reading the hour hand, then progress to the minute hand, learning the difference in length. They know to check the shorter hand when the minute hand points to 12.",Year 1_5-6_Summer__Time_5_Tell the time to the hour
4rOa-mncdEw,STEMHAX,Eggs and Legs Counting by Twos - (Read Aloud),78,"Build on children's understanding of adding 1 and 2, doubles, and finding 1 more/less by exploring counting in 2s, using pairs like socks or bicycle wheels. Use number lines and a 1-50 grid to spot patterns. Introduce multiplication language, always starting from even numbers.",Year 1_5-6_Summer__Multiplication and division_1_Count in 2s
lIs6FvlfBT4,STEMHAX,From the Garden: A Counting Book About Growing Food,2,"This step aims to enable children to count to 10 fluently and accurately, applying five counting principles: one-to-one assignment, stable-order, cardinality (final object equals total count), abstraction (counting intangible things like sounds), and order-irrelevance (counting order doesn't change total).",Year 1_5-6_Autumn__Place value within 10_2_Count objects
GbWFfWwyB5s,STEMHAX,Give Me Half! - Read Aloud Math Book,185,"Teach doubling and halving numbers using concrete resources and pictures. Clarify misconceptions like doubling means adding 2. Once students understand, encourage pattern recognition and prediction, such as ""If I know double 2, I can find double 20"". Explore halving odd numbers with concrete resources.",Year 2_6-7_Spring__Multiplication and division_11_Doubling and halving
NawNNzO1rFY,STEMHAX,Hands Down Counting by Fives 5's - Read Aloud,80,"Children learn to count in 5s using various methods like starfish arms, dice, rhymes, and ten frames. They practice orally to solidify this skill. The 1-50 grid helps identify patterns in counting by 5s. The language of multiplication, such as ""equal groups of 5,"" is introduced.",Year 1_5-6_Summer__Multiplication and division_3_Count in 5s
UsQVV7iFByE,STEMHAX,Jack the Builder - Counting on Math (Read Aloud),6,"Count from any number up to 10, using tools like ten frames and number tracks for support. These tools link numerals and words, aiding understanding. Avoid number lines at this stage to prevent confusion. This counting skill is crucial for preparing children for addition.",Year 1_5-6_Autumn__Place value within 10_6_Count on from any number
kAeLHSCApXE,STEMHAX,Leaping Lizards / Skip Counting - A Read Aloud Math Book,131,"Year 1 students review counting in 2s, 5s, and 10s, both forwards and backwards, preparing for topics like money. Starting numbers for 2s and 5s should be multiples. Counting in 10s can start from any number. Concrete resources like counters and Rekenreks aid understanding. Spotting patterns in numbers is encouraged.","Year 2_6-7_Autumn__Place value_15_Count in 2s, 5s and 10s"
Sr3Yjvvh8h0,STEMHAX,Lots of Ladybugs Counting by Fives - Read Aloud with Skip Counting,189,"Focus on the 5 times-table, including zero, to understand multiplication and division by 5. Use multiple representations and manipulatives to support learning. Encourage efficient counting strategies, spotting patterns, and making connections with the 10 times-table. Reinforce knowledge of 5 times-table facts throughout.",Year 2_6-7_Spring__Multiplication and division_15_The 5 times-table
mBHKipRh-Lg,STEMHAX,Plenty of Petals Counting by Tens - (Read Aloud),187,"Children focus on the 10 times-table, counting forwards and backwards in 10s, and explore division by 10. They use various representations like number tracks, lines, and bar models, and draw images to match number sentences. Base 10 supports understanding. Links between 10 and 5 times-tables are explored later.",Year 2_6-7_Spring__Multiplication and division_13_The 10 times-table
z-WyYXiQen8,STEMHAX,Toasty Toes Counting by Tens - (Read Aloud),191,"Explore the 5 and 10 times-tables, understanding their relationship and identifying common numbers. Recognise that all numbers in the 10 times-table appear in the 5 times-table, but not vice versa. Learn that the 10 times-table is double the 5 times-table, exemplified by 4x10 equalling 8x5.",Year 2_6-7_Spring__Multiplication and division_17_The 5 and 10 times-tables
7J1OkxuyLD0,Scratch_Garden,Adding & Subtracting! | Mini Math Movies | Scratch Garden,23,"Formalise addition as combining parts to form a whole. Focus on uniting two parts, using correct mathematical language like ""is equal to"". Use ten frames, counters, Rekenreks, and part-whole models to represent additions. This foundational concept supports later learning and builds on previous knowledge.",Year 1_5-6_Autumn__Addition and subtraction within 10_8_Addition – add together
G05AgnEGmgw,Scratch_Garden,Composing Numbers & Decomposing Numbers! | Mini Math Movies | Scratch Garden,16,"Introduce the language of ""parts"" and ""whole"" to children, reinforcing prior knowledge. Facilitate exploration of number compositions, such as 5 being 2 and 3, or 1 and 4. Encourage recognition that numbers can be composed of multiple parts. Promote understanding through play and physical activities. Introduce part-whole model next.",Year 1_5-6_Autumn__Addition and subtraction within 10_1_Introduce parts and wholes
WacilGHlhS4,Scratch_Garden,Counting Odd Numbers | Counting Songs | Scratch Garden,186,"Children explore odd and even numbers, identifying if a number is odd or even through representations like number pieces. They learn that even numbers can be halved into two equal parts, while odd numbers cannot. Understanding secure, they check the ones column to determine a number's oddness or evenness.",Year 2_6-7_Spring__Multiplication and division_12_Odd and even numbers
