video_id,video_title,channel,source_step,source_step_name,source_position,status,privacy_status,embeddable,upload_status,api_title
6pcCKSXYBgs,"5th Grade Math 4.5, Word Problem Solving, Multiply Money Using Bar Models",JoAnn's_School,Year 10_14-15_Spring_Foundation_Non-calculator methods_8_Solve multi-step problems,Solve multi-step problems,current_2,embedding_disabled,public,False,processed,"5th Grade Math 4.5, Word Problem Solving, Multiply Money Using Bar Models"
c2OmnZiyVs0,"Algebra II 15.1a, Fundamental Counting Principle",JoAnn's_School,Year 10_14-15_Spring_Higher_Probability_3_List and count outcomes,List and count outcomes,current_2,embedding_disabled,public,False,processed,"Algebra II 15.1a, Fundamental Counting Principle"
hd_L3N7FqCk,Parallel vectors  and collinear points,Maths_With_Ease,Year 10_14-15_Summer_Higher_Vectors_8_Parallel vectors,Parallel vectors,current_2,embedding_disabled,public,False,processed,Parallel vectors  and collinear points
wYMTT9o-3Z4,"8th Grade Math 4.4a, Distinguish Between Proportional & Nonproportional Situations Using a Graph",JoAnn's_School,Year 11_15-16_Autumn_Foundation_Ratio and proportion_8_Direct inverse proportion graphs (E),Direct inverse proportion graphs (E),current_3,embedding_disabled,public,False,processed,"8th Grade Math 4.4a, Distinguish Between Proportional & Nonproportional Situations Using a Graph"
fZzuwbusPN0,"8th Grade Math 3.1b, Representing Proportional Relationships with Equations, y=kx",JoAnn's_School,Year 11_15-16_Autumn_Higher_Ratio and proportion_5_Direct proportion equations,Direct proportion equations,current_1,embedding_disabled,public,False,processed,"8th Grade Math 3.1b, Representing Proportional Relationships with Equations, y=kx"
Gp3BCbRZ_qc,"Grade 1 Math 2.8, Take apart numbers (to subtract)",JoAnn's_School,Year 1_5-6_Autumn__Addition and subtraction within 10_14_Subtraction – take away/cross out (How many left?),Subtraction – take away/cross out (How many left?),current_2,embedding_disabled,public,False,processed,"Grade 1 Math 2.8, Take apart numbers (to subtract)"
8HpfhU253Kc,"Kindergarten Math 5.2, Addition: Put Together",JoAnn's_School,Year 1_5-6_Autumn__Addition and subtraction within 10_8_Addition – add together,Addition – add together,current_2,embedding_disabled,public,False,processed,"Kindergarten Math 5.2, Addition: Put Together"
MSVHWKz87uE,"Kindergarten Math 2.1, Same Number",JoAnn's_School,Year 1_5-6_Autumn__Place value within 10_10_Compare groups by matching,Compare groups by matching,current_3,embedding_disabled,public,False,processed,"Kindergarten Math 2.1, Same Number"
8xHGAFc-MQI,"Kindergarten Math 4.7, Compare Two Numbers",JoAnn's_School,Year 1_5-6_Autumn__Place value within 10_13_Compare numbers,Compare numbers,current_1,embedding_disabled,public,False,processed,"Kindergarten Math 4.7, Compare Two Numbers"
ao-7qtzzRKY,"Kindergarten Math 4.4, Count and Order to 10",JoAnn's_School,Year 1_5-6_Autumn__Place value within 10_14_Order objects and numbers,Order objects and numbers,current_2,embedding_disabled,public,False,processed,"Kindergarten Math 4.4, Count and Order to 10"
