video_id,video_title,channel,source_step,source_step_name,source_position,status,privacy_status,embeddable,upload_status,api_title
dR0ozGTZkb8,Percentages and Ratios - Solving Percentage Problems With Ratios,Miacademy_&_MiaPrep_Learning_Channel,Year 10_14-15_Autumn_Foundation_Percentages_9_Choose appropriate methods to solve percentage problems,Choose appropriate methods to solve percentage problems,current_2,deleted,deleted,False,deleted,
etPtVPhmce4,Equivalent Ratios - Simplifying and Using Ratio Tables,Miacademy_&_MiaPrep_Learning_Channel,Year 10_14-15_Autumn_Foundation_Ratio and scale_1_Equivalent ratios,Equivalent ratios,current_2,deleted,deleted,False,deleted,
6pcCKSXYBgs,"5th Grade Math 4.5, Word Problem Solving, Multiply Money Using Bar Models",JoAnn's_School,Year 10_14-15_Spring_Foundation_Non-calculator methods_8_Solve multi-step problems,Solve multi-step problems,current_2,embedding_disabled,public,False,processed,"5th Grade Math 4.5, Word Problem Solving, Multiply Money Using Bar Models"
zTq-CK0pIQw,Surface Area of Cylinders - Using Nets and Formulas,Miacademy_&_MiaPrep_Learning_Channel,Year 10_14-15_Spring_Higher_Perimeter area and volume_10_Surface area of a cylinder,Surface area of a cylinder,current_1,deleted,deleted,False,deleted,
c2OmnZiyVs0,"Algebra II 15.1a, Fundamental Counting Principle",JoAnn's_School,Year 10_14-15_Spring_Higher_Probability_3_List and count outcomes,List and count outcomes,current_2,embedding_disabled,public,False,processed,"Algebra II 15.1a, Fundamental Counting Principle"
FyOZ_20fp-E,Parallel Lines and Transversals - Solving for Angle Measures,Miacademy_&_MiaPrep_Learning_Channel,Year 10_14-15_Summer_Foundation_Angles_7_Alternate and corresponding angles​,Alternate and corresponding angles​,current_1,deleted,deleted,False,deleted,
0QkteLvPRRI,Surds Introduction - GCSE Maths,JED_Maths,Year 10_14-15_Summer_Higher_Factors and powers_4_Four operations with surds,Four operations with surds,current_1,deleted,deleted,False,deleted,
hd_L3N7FqCk,Parallel vectors  and collinear points,Maths_With_Ease,Year 10_14-15_Summer_Higher_Vectors_8_Parallel vectors,Parallel vectors,current_2,embedding_disabled,public,False,processed,Parallel vectors  and collinear points
-vVzsdTgeZM,Surface Area of Spheres - Real-World Geometry,Miacademy_&_MiaPrep_Learning_Channel,Year 11_15-16_Autumn_Foundation_Area and volume_6_Surface area of a sphere,Surface area of a sphere,current_1,deleted,deleted,False,deleted,
wYMTT9o-3Z4,"8th Grade Math 4.4a, Distinguish Between Proportional & Nonproportional Situations Using a Graph",JoAnn's_School,Year 11_15-16_Autumn_Foundation_Ratio and proportion_8_Direct inverse proportion graphs (E),Direct inverse proportion graphs (E),current_3,embedding_disabled,public,False,processed,"8th Grade Math 4.4a, Distinguish Between Proportional & Nonproportional Situations Using a Graph"
eGTL1FhG89E,Similar Triangles Part 1 - Triangle Similarity Theorems,Miacademy_&_MiaPrep_Learning_Channel,Year 11_15-16_Autumn_Foundation_Similarity and congruence_5_Prove a pair of triangles are similar (E),Prove a pair of triangles are similar (E),current_1,deleted,deleted,False,deleted,
fZzuwbusPN0,"8th Grade Math 3.1b, Representing Proportional Relationships with Equations, y=kx",JoAnn's_School,Year 11_15-16_Autumn_Higher_Ratio and proportion_5_Direct proportion equations,Direct proportion equations,current_1,embedding_disabled,public,False,processed,"8th Grade Math 3.1b, Representing Proportional Relationships with Equations, y=kx"
0C3VM_gljnU,Copying and Bisecting Angles - Geometry Construction Skills,Miacademy_&_MiaPrep_Learning_Channel,Year 11_15-16_Spring_Foundation_Constructions and Loci_4_Construct an angle bisector,Construct an angle bisector,current_2,deleted,deleted,False,deleted,
zs9Ag_sCl30,Composite Functions - How to Define and Evaluate Composite Functions,Miacademy_&_MiaPrep_Learning_Channel,Year 11_15-16_Spring_Higher_Functions and graphs_2_Composite functions,Composite functions,current_1,deleted,deleted,False,deleted,
yZCWakf3Usk,Performing Reflections Part 2 - More Practice With Reflections,Miacademy_&_MiaPrep_Learning_Channel,Year 11_15-16_Spring_Higher_Transformations_4_Reflection,Reflection,current_2,deleted,deleted,False,deleted,
Gp3BCbRZ_qc,"Grade 1 Math 2.8, Take apart numbers (to subtract)",JoAnn's_School,Year 1_5-6_Autumn__Addition and subtraction within 10_14_Subtraction – take away/cross out (How many left?),Subtraction – take away/cross out (How many left?),current_2,embedding_disabled,public,False,processed,"Grade 1 Math 2.8, Take apart numbers (to subtract)"
